Title,Year,Source,Publisher,ArticleURL,CitesURL,Type
Managing Change: An Ontology Version Control System.,2008,OWLED,ceur-ws.org,http://ceur-ws.org/Vol-432/owled2008eu_submission_33.pdf,"https://scholar.google.com/scholar?cites=5719566175285307616&as_sdt=2005&sciodt=0,5&hl=en",PDF
Caching of intermediate results in DHT-based RDF stores,2008,"International Journal of Metadata, Semantics and …",dl.acm.org,https://dl.acm.org/citation.cfm?id=1459190,"https://scholar.google.com/scholar?cites=294347188623321925&as_sdt=2005&sciodt=0,5&hl=en",
Ontology change: Classification and survey,2008,The Knowledge …,cambridge.org,https://www.cambridge.org/core/journals/knowledge-engineering-review/article/ontology-change-classification-and-survey/EEF2FB377B9125CBB784E6F1B6853404,"https://scholar.google.com/scholar?cites=8392345118845872545&as_sdt=2005&sciodt=0,5&hl=en",
C-SPARQL: SPARQL for continuous querying,2009,… on World wide web …,kops.uni-konstanz.de,http://kops.uni-konstanz.de/handle/123456789/27737,"https://scholar.google.com/scholar?cites=16791558083048125264&as_sdt=2005&sciodt=0,5&hl=en",
On detecting high-level changes in RDF/S KBs,2009,International Semantic …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-04930-9_30,"https://scholar.google.com/scholar?cites=8991036326165228375&as_sdt=2005&sciodt=0,5&hl=en",
Continuous queries and real-time analysis of social semantic data with c-sparql,2009,ISWC 2009: Second …,kops.uni-konstanz.de,http://kops.uni-konstanz.de/handle/123456789/33608,"https://scholar.google.com/scholar?cites=11995684774306761499&as_sdt=2005&sciodt=0,5&hl=en",
Applied temporal RDF: Efficient temporal querying of RDF data with SPARQL,2009,European Semantic Web Conference,Springer,https://link.springer.com/chapter/10.1007/978-3-642-02121-3_25,"https://scholar.google.com/scholar?cites=6881322771927374298&as_sdt=2005&sciodt=0,5&hl=en",
Querying rdf streams with c-sparql,2010,ACM SIGMOD …,dl.acm.org,https://dl.acm.org/citation.cfm?id=1860705,"https://scholar.google.com/scholar?cites=17565786131575972930&as_sdt=2005&sciodt=0,5&hl=en",
C-SPARQL: a continuous query language for RDF data streams,2010,… Journal of Semantic …,World Scientific,https://www.worldscientific.com/doi/abs/10.1142/S1793351X10000936,"https://scholar.google.com/scholar?cites=13513019914686786752&as_sdt=2005&sciodt=0,5&hl=en",
An execution environment for C-SPARQL queries,2010,Proceedings of the 13th …,dl.acm.org,https://dl.acm.org/citation.cfm?id=1739095,"https://scholar.google.com/scholar?cites=4963408016124049617&as_sdt=2005&sciodt=0,5&hl=en",
T-SPARQL: A TSQL2-like Temporal Query Language for RDF.,2010,ADBIS (Local Proceedings),Citeseer,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.231.4741&rep=rep1&type=pdf,"https://scholar.google.com/scholar?cites=426246793951950058&as_sdt=2005&sciodt=0,5&hl=en",PDF
Dataset dynamics compendium: A comparative study,2010,,oa.upm.es,http://oa.upm.es/id/eprint/6632,"https://scholar.google.com/scholar?cites=1551694900105647046&as_sdt=2005&sciodt=0,5&hl=en",
An HTTP-based versioning mechanism for linked data,2010,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1003.3661,"https://scholar.google.com/scholar?cites=4992670669226106190&as_sdt=2005&sciodt=0,5&hl=en",
An evaluation approach for dynamics-aware applications using linked data,2010,2010 Workshops on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5592066/,"https://scholar.google.com/scholar?cites=13392973660340325006&as_sdt=2005&sciodt=0,5&hl=en",
Consuming Dynamic Linked Data.,2010,COLD,ceur-ws.org,http://ceur-ws.org/Vol-665/NortonEtAl_COLD2010.pdf,"https://scholar.google.com/scholar?cites=15227726535814062916&as_sdt=2005&sciodt=0,5&hl=en",PDF
sparqlPuSH: Proactive Notification of Data Updates in RDF Stores Using PubSubHubbub.,2010,SFSW,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/de36/85290dd383190d53be839b8c150db50eb5af.pdf,"https://scholar.google.com/scholar?cites=3487538565238751854&as_sdt=2005&sciodt=0,5&hl=en",PDF
Representing and querying validity time in RDF and OWL: A logic-based approach,2010,International Semantic Web Conference,Springer,https://link.springer.com/chapter/10.1007/978-3-642-17746-0_35,"https://scholar.google.com/scholar?cites=4780397778748572672&as_sdt=2005&sciodt=0,5&hl=en",
Continuous query optimization and evaluation over unified linked stream data and linked open data,2010,,Citeseer,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.187.2499&rep=rep1&type=pdf,"https://scholar.google.com/scholar?cites=10684857104134632072&as_sdt=2005&sciodt=0,5&hl=en",PDF
Dynamic Linked Data via Linked Open Services.,2010,LDSI@ FIA,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/328d/dfe0d69a96d1d6e980ff0e765d059f2729e2.pdf,"https://scholar.google.com/scholar?cites=13023534729341098937&as_sdt=2005&sciodt=0,5&hl=en",PDF
Towards dataset dynamics: Change frequency of linked open data sources,2010,,aran.library.nuigalway.ie,https://aran.library.nuigalway.ie/xmlui/handle/10379/1120,"https://scholar.google.com/scholar?cites=13592826431375623559&as_sdt=2005&sciodt=0,5&hl=en",
Selecting materialized views for RDF data,2010,International Conference on Web Engineering,Springer,https://link.springer.com/chapter/10.1007/978-3-642-16985-4_12,"https://scholar.google.com/scholar?cites=11143976728922423677&as_sdt=2005&sciodt=0,5&hl=en",
Ontology Evolution in Data Integration,2010,Poster session of …,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/534a/36ee12e23a8ea16138b001a7c0f0e2279fed.pdf,"https://scholar.google.com/scholar?cites=7789373191931087633&as_sdt=2005&sciodt=0,5&hl=en",PDF
Analysing dependency dynamics in web data,2010,2010 AAAI Spring Symposium Series,aaai.org,https://www.aaai.org/ocs/index.php/SSS/SSS10/paper/viewPaper/1088,"https://scholar.google.com/scholar?cites=2500706219557101684&as_sdt=2005&sciodt=0,5&hl=en",
Caching intermediate result of SPARQL queries,2011,Proceedings of the 20th international conference …,dl.acm.org,https://dl.acm.org/citation.cfm?id=1963273,"https://scholar.google.com/scholar?cites=14202072024337426248&as_sdt=2005&sciodt=0,5&hl=en",
Enabling fine-grained HTTP caching of SPARQL query results,2011,International Semantic Web Conference,Springer,https://link.springer.com/chapter/10.1007/978-3-642-25073-6_48,"https://scholar.google.com/scholar?cites=10497964407835066298&as_sdt=2005&sciodt=0,5&hl=en",
To cache or not to cache: The effects of warming cache in complex sparql queries,2011,"… Conferences"" On the Move …",Springer,https://link.springer.com/chapter/10.1007/978-3-642-25106-1_22,"https://scholar.google.com/scholar?cites=16257469603169921299&as_sdt=2005&sciodt=0,5&hl=en",
How Caching Improves Efficiency and Result Completeness for Querying Linked Data.,2011,LDOW,dbis.informatik.hu-berlin.de,http://www.dbis.informatik.hu-berlin.de/fileadmin/research/papers/conferences/2011_ldow_caching_hartig.pdf,"https://scholar.google.com/scholar?cites=13225470241367207948&as_sdt=2005&sciodt=0,5&hl=en",PDF
Ontology evolution: assisting query migration,2012,International Conference on Conceptual …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-34002-4_26,"https://scholar.google.com/scholar?cites=7806646971208312307&as_sdt=2005&sciodt=0,5&hl=en",
Analyzing impacts of change operations in evolving ontologies,2012,,doras.dcu.ie,http://doras.dcu.ie/17395/,"https://scholar.google.com/scholar?cites=8738786177102406537&as_sdt=2005&sciodt=0,5&hl=en",
Hybrid SPARQL queries: fresh vs. fast results,2012,International Semantic Web …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-35176-1_38,"https://scholar.google.com/scholar?cites=4419055457350832459&as_sdt=2005&sciodt=0,5&hl=en",
Dyldo: Towards a dynamic linked data observatory,2012,In LDOW at WWW. CEUR-WS,Citeseer,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.357.3698,"https://scholar.google.com/scholar?cites=9401641207732927319&as_sdt=2005&sciodt=0,5&hl=en",
Freshening up while staying fast: Towards hybrid SPARQL queries,2012,… Conference on Knowledge …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-33876-2_16,"https://scholar.google.com/scholar?cites=3512380505898148320&as_sdt=2005&sciodt=0,5&hl=en",
Towards a dynamic linked data observatory,2012,LDOW at WWW,academia.edu,http://www.academia.edu/download/30722916/ldow2012-slides-14.pdf,"https://scholar.google.com/scholar?cites=5874851588666566449&as_sdt=2005&sciodt=0,5&hl=en",PDF
Representing and querying validity time in RDF and OWL: A logic-based approach,2012,"Web Semantics: Science, Services and Agents on the …",Elsevier,https://www.sciencedirect.com/science/article/pii/S1570826811000953,"https://scholar.google.com/scholar?cites=17508346705921121715&as_sdt=2005&sciodt=0,5&hl=en",
Cool URIs and dynamic data,2012,IEEE Internet Computing,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6257375/,"https://scholar.google.com/scholar?cites=5553697654973544048&as_sdt=2005&sciodt=0,5&hl=en",
A version management framework for RDF triple stores,2012,International Journal of Software …,World Scientific,https://www.worldscientific.com/doi/abs/10.1142/S0218194012500040,"https://scholar.google.com/scholar?cites=7795339873330195702&as_sdt=2005&sciodt=0,5&hl=en",
On the diversity and availability of temporal information in linked open data,2012,International Semantic …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-35176-1_31,"https://scholar.google.com/scholar?cites=13324857562753673383&as_sdt=2005&sciodt=0,5&hl=en",
Freshening Up While Staying Fast: Towards Hybrid SPARQL Queries,2012,,aran.library.nuigalway.ie,https://aran.library.nuigalway.ie/bitstream/handle/10379/4544/ekaw2012.pdf?sequence=1,,PDF
SRBench: a streaming RDF/SPARQL benchmark,2012,International Semantic Web …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-35176-1_40,"https://scholar.google.com/scholar?cites=3484955099751767487&as_sdt=2005&sciodt=0,5&hl=en",
High-level change detection in RDF (S) KBs,2013,ACM Transactions on …,dl.acm.org,https://dl.acm.org/citation.cfm?id=2445584,"https://scholar.google.com/scholar?cites=1357273563166353418&as_sdt=2005&sciodt=0,5&hl=en",
Change-a-lod: does the schema on the linked data cloud change or not?,2013,COLD,ceur-ws.org,http://ceur-ws.org/Vol-1034/DividinoEtAl_COLD2013.pdf,"https://scholar.google.com/scholar?cites=14725284379624509962&as_sdt=2005&sciodt=0,5&hl=en",PDF
Observing linked data dynamics,2013,Extended Semantic Web …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-38288-8_15,"https://scholar.google.com/scholar?cites=6998557121538621792&as_sdt=2005&sciodt=0,5&hl=en",
Caching and prefetching strategies for sparql queries,2013,Extended Semantic Web Conference,Springer,https://link.springer.com/chapter/10.1007/978-3-642-41242-4_5,"https://scholar.google.com/scholar?cites=9890135731670374837&as_sdt=2005&sciodt=0,5&hl=en",
On-the-fly integration of static and dynamic linked data,2013,… Linked Data co …,planet-data.org,http://planet-data.org/sites/default/files/publications/HarthEtAl_COLD2013.pdf,"https://scholar.google.com/scholar?cites=16751850106501469869&as_sdt=2005&sciodt=0,5&hl=en",PDF
Backward inference and pruning for RDF change detection using RDBMS,2013,Journal of Information Science,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0165551512463650?casa_token=wE-G9y4UDnQAAAAA:MDWDjJD_9roKWUjayBRLVhT2Xqw6-VkZywfZqhRp0KYy5QHNroF31Shc9_0e1cX-1IRcqzqAXyaZVNQ,"https://scholar.google.com/scholar?cites=17815231870642277418&as_sdt=2005&sciodt=0,5&hl=en",
Detecting SPARQL query templates for data prefetching,2013,Extended Semantic Web Conference,Springer,https://link.springer.com/chapter/10.1007/978-3-642-38288-8_9,"https://scholar.google.com/scholar?cites=12840759214798555509&as_sdt=2005&sciodt=0,5&hl=en",
Towards content-aware SPARQL query caching for semantic web applications,2013,International Conference on Web …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-41230-1_27,"https://scholar.google.com/scholar?cites=14840505516675923595&as_sdt=2005&sciodt=0,5&hl=en",
Dynamite: Parallel materialization of dynamic rdf data,2013,International Semantic …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-41335-3_41,"https://scholar.google.com/scholar?cites=7140196323827619833&as_sdt=2005&sciodt=0,5&hl=en",
Change management in evolving web ontologies,2013,Knowledge-Based Systems,Elsevier,https://www.sciencedirect.com/science/article/pii/S0950705112001323,"https://scholar.google.com/scholar?cites=13652249902051576728&as_sdt=2005&sciodt=0,5&hl=en",
ResourceSync: leveraging sitemaps for resource synchronization,2013,Proceedings of the …,dl.acm.org,https://dl.acm.org/citation.cfm?id=2487793,"https://scholar.google.com/scholar?cites=12074526644328473068&as_sdt=2005&sciodt=0,5&hl=en",
Ontology evolution without tears,2013,"… semantics: science, services and agents on …",Elsevier,https://www.sciencedirect.com/science/article/pii/S1570826813000024,"https://scholar.google.com/scholar?cites=8208634224597829895&as_sdt=2005&sciodt=0,5&hl=en",
Challenges and Opportunities in the Evolving Data web,2013,International Conference on Conceptual Modeling,Springer,https://link.springer.com/chapter/10.1007/978-3-319-14139-8_4,"https://scholar.google.com/scholar?cites=12781137231233638090&as_sdt=2005&sciodt=0,5&hl=en",
Ontology Evolution and Challenges.,2013,J. Inf. Sci. Eng.,uclab.khu.ac.kr,http://uclab.khu.ac.kr/resources/publication/J_149.pdf,"https://scholar.google.com/scholar?cites=16029448125690145123&as_sdt=2005&sciodt=0,5&hl=en",PDF
Exploring the Dynamics of Linked Data,2013,Extended Semantic Web …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-41242-4_52,,
Understanding the dynamics of open data: From sweeping statements to complex contextual interactions,2014,Open government,Springer,https://link.springer.com/chapter/10.1007/978-1-4614-9563-5_7,"https://scholar.google.com/scholar?cites=4879546922926858943&as_sdt=2005&sciodt=0,5&hl=en",
Optimizing sparql query processing on dynamic and static data based on query response requirements using materialization,2014,ISWC-DC 2014 Doctoral Consortium at ISWC 2014,Citeseer,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.666.9266&rep=rep1&type=pdf#page=15,"https://scholar.google.com/scholar?cites=2417381448828260012&as_sdt=2005&sciodt=0,5&hl=en",PDF
RDF stream processing: let's react,2014,Proceedings of the 3rd International Workshop …,infoscience.epfl.ch,https://infoscience.epfl.ch/record/203582,"https://scholar.google.com/scholar?cites=15412957386587389764&as_sdt=2005&sciodt=0,5&hl=en",
Dynamic provenance for SPARQL updates,2014,International Semantic Web Conference,Springer,https://link.springer.com/chapter/10.1007/978-3-319-11964-9_27,"https://scholar.google.com/scholar?cites=3243696875752069092&as_sdt=2005&sciodt=0,5&hl=en",
From Changes to Dynamics: Dynamics Analysis of Linked Open Data Sources.,2014,PROFILES@ ESWC,ceur-ws.org,http://ceur-ws.org/Vol-1151/paper4.pdf?,"https://scholar.google.com/scholar?cites=10374712167635589150&as_sdt=2005&sciodt=0,5&hl=en",PDF
Optimizing SPARQL query processing on dynamic and static data based on query time/freshness requirements using materialization,2014,Joint International …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-15615-6_19,"https://scholar.google.com/scholar?cites=8003205058720590653&as_sdt=2005&sciodt=0,5&hl=en",
An investigation of HTTP header information for detecting changes of linked open data sources,2014,European Semantic Web Conference,Springer,https://link.springer.com/chapter/10.1007/978-3-319-11955-7_18,"https://scholar.google.com/scholar?cites=9755288208178913078&as_sdt=2005&sciodt=0,5&hl=en",
Dynamic provenance for SPARQL updates using named graphs,2014,Proceedings of the 23rd International Conference …,dl.acm.org,https://dl.acm.org/citation.cfm?id=2577357,"https://scholar.google.com/scholar?cites=14237899099949925194&as_sdt=2005&sciodt=0,5&hl=en",
G-diff: a grouping algorithm for RDF change detection on MapReduce,2014,Joint International Semantic …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-15615-6_17,"https://scholar.google.com/scholar?cites=2144588003034083072&as_sdt=2005&sciodt=0,5&hl=en",
Perplexity of index models over evolving linked data,2014,European Semantic Web Conference,Springer,https://link.springer.com/chapter/10.1007/978-3-319-07443-6_12,"https://scholar.google.com/scholar?cites=639562556287781068&as_sdt=2005&sciodt=0,5&hl=en",
On designing archiving policies for evolving RDF datasets on the Web,2014,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-12206-9_4,"https://scholar.google.com/scholar?cites=11659060119523066300&as_sdt=2005&sciodt=0,5&hl=en",
"Graph-aware, workload-adaptive SPARQL query caching",2015,Proceedings of the 2015 …,dl.acm.org,https://dl.acm.org/citation.cfm?id=2723714,"https://scholar.google.com/scholar?cites=6492699566708267958&as_sdt=2005&sciodt=0,5&hl=en",
Interest-based RDF update propagation,2015,International Semantic Web …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-25007-6_30,"https://scholar.google.com/scholar?cites=1194699403358844981&as_sdt=2005&sciodt=0,5&hl=en",
Approximate continuous query answering over streams and dynamic linked data sets,2015,… Conference on Web …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-19890-3_20,"https://scholar.google.com/scholar?cites=15340304988791992217&as_sdt=2005&sciodt=0,5&hl=en",
Bear: Benchmarking the efficiency of rdf archiving,2015,,epub.wu.ac.at,http://epub.wu.ac.at/id/eprint/4615,"https://scholar.google.com/scholar?cites=14041966719764393529&as_sdt=2005&sciodt=0,5&hl=en",
Identifying and caching hot triples for efficient RDF query processing,2015,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-18123-3_16,"https://scholar.google.com/scholar?cites=5454345174809598076&as_sdt=2005&sciodt=0,5&hl=en",
A Framework for Managing Evolving Information Resources on the Data Web,2015,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1504.06451,"https://scholar.google.com/scholar?cites=11121733984397167563&as_sdt=2005&sciodt=0,5&hl=en",
A survey of http caching implementations on the open semantic web,2015,European Semantic Web Conference,Springer,https://link.springer.com/chapter/10.1007/978-3-319-18818-8_18,"https://scholar.google.com/scholar?cites=7966710159115371458&as_sdt=2005&sciodt=0,5&hl=en",
A flexible framework for understanding the dynamics of evolving RDF sdatasets: Extended version,2015,,ics.forth.gr,https://www.ics.forth.gr/tech-reports/2015/2015.TR456_Flexible_Framework_Evolving_RDF_Datasets.pdf,"https://scholar.google.com/scholar?cites=9902578088409096080&as_sdt=2005&sciodt=0,5&hl=en",PDF
Strategies for efficiently keeping local linked open data caches up-to-date,2015,International Semantic Web Conference,Springer,https://link.springer.com/chapter/10.1007/978-3-319-25010-6_24,"https://scholar.google.com/scholar?cites=1966199123327362640&as_sdt=2005&sciodt=0,5&hl=en",
Temporal patterns and periodicity of entity dynamics in the linked open data cloud,2015,Proceedings of the 8th International Conference …,dl.acm.org,https://dl.acm.org/citation.cfm?id=2816948,"https://scholar.google.com/scholar?cites=10663150429948395281&as_sdt=2005&sciodt=0,5&hl=en",
Addendum to a survey of HTTP caching on the Semantic Web,2015,Research report http://urn. nb. no/URN: NBN: no-35645,duo.uio.no,https://www.duo.uio.no/bitstream/handle/10852/43339/2/report.pdf,"https://scholar.google.com/scholar?cites=12426398550039520281&as_sdt=2005&sciodt=0,5&hl=en",PDF
A flexible framework for understanding the dynamics of evolving RDF datasets,2015,International Semantic …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-25007-6_29,"https://scholar.google.com/scholar?cites=10072485396345199831&as_sdt=2005&sciodt=0,5&hl=en",
Towards linked data update notifications,2015,… on negative or …,researchgate.net,https://www.researchgate.net/profile/Magnus_Knuth/publication/280304136_Towards_Linked_Data_Update_Notifications_-_Reviewing_and_Generalizing_the_sparqlPuSH_approach/links/55b0b63208aeb0ab4669a6a3.pdf,"https://scholar.google.com/scholar?cites=3147218122343745977&as_sdt=2005&sciodt=0,5&hl=en",PDF
Towards Efficient Archiving of Dynamic Linked Open Data.,2015,DIACRON@ ESWC,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/5e44/cf4923fe0a7d5d561ee210306936be1f7ff0.pdf,"https://scholar.google.com/scholar?cites=10788007806070748055&as_sdt=2005&sciodt=0,5&hl=en",PDF
Provenance management for evolving RDF datasets,2016,European Semantic Web …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-34129-3_35,"https://scholar.google.com/scholar?cites=15432922965187771673&as_sdt=2005&sciodt=0,5&hl=en",
Evaluating query and storage strategies for RDF archives,2016,Proceedings of the 12th …,dl.acm.org,https://dl.acm.org/citation.cfm?id=2993333,"https://scholar.google.com/scholar?cites=10467552541075756931&as_sdt=2005&sciodt=0,5&hl=en",
RDF data evolution: efficient detection and semantic representation of changes,2016,Semantic Systems …,ceur-ws.org,http://ceur-ws.org/Vol-1695/paper29.pdf,"https://scholar.google.com/scholar?cites=988192379140888825&as_sdt=2005&sciodt=0,5&hl=en",PDF
Proactive Replication of Dynamic Linked Data for Scalable RDF Stream Processing.,2016,International Semantic Web …,ceur-ws.org,http://ceur-ws.org/Vol-1690/paper49.pdf,"https://scholar.google.com/scholar?cites=10627508331053032466&as_sdt=2005&sciodt=0,5&hl=en",PDF
SECF: Improving SPARQL querying performance with proactive fetching and caching,2016,Proceedings of the 31st …,dl.acm.org,https://dl.acm.org/citation.cfm?id=2851846,"https://scholar.google.com/scholar?cites=10102010207878896043&as_sdt=2005&sciodt=0,5&hl=en",
Co-evolution of RDF Datasets,2016,… Conference on Web …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-38791-8_13,"https://scholar.google.com/scholar?cites=5756088421282286861&as_sdt=2005&sciodt=0,5&hl=en",
Scheduling refresh queries for keeping results from a sparql endpoint up-to-date (extended version),2016,arXiv preprint arXiv:1608.08130,arxiv.org,https://arxiv.org/abs/1608.08130,"https://scholar.google.com/scholar?cites=8409859065025665657&as_sdt=2005&sciodt=0,5&hl=en",
Information-theoretic analysis of entity dynamics on the linked open data cloud,2016,CEUR Workshop Proceedings,dspace.stir.ac.uk,http://dspace.stir.ac.uk/handle/1893/28035,"https://scholar.google.com/scholar?cites=8559407070242799190&as_sdt=2005&sciodt=0,5&hl=en",
Towards time-aware knowledge graph completion,2016,Proceedings of COLING …,aclweb.org,https://www.aclweb.org/anthology/papers/C/C16/C16-1161/,"https://scholar.google.com/scholar?cites=12819847252088635003&as_sdt=2005&sciodt=0,5&hl=en",
D2V\96understanding the dynamics of evolving data: a case study in the life sciences,2016,ERCIM News,researchgate.net,https://www.researchgate.net/profile/Ioannis_Chrysakis/publication/309392045_D2V_-_Understanding_the_Dynamics_of_Evolving_Data_A_Case_Study_in_the_Life_Sciences/links/580de11808aeec6231eec1ca/D2V-Understanding-the-Dynamics-of-Evolving-Data-A-Case-Study-in-the-Life-Sciences.pdf,"https://scholar.google.com/scholar?cites=17559714391617305632&as_sdt=2005&sciodt=0,5&hl=en",PDF
Populating knowledge bases with temporal information,2016,,publikationen.sulb.uni-saarland.de,https://publikationen.sulb.uni-saarland.de/handle/20.500.11880/26761,,
Measures for assessing the data freshness in Open Data portals,2016,… Conference on Open and Big Data …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7573684/,"https://scholar.google.com/scholar?cites=10331318417252527286&as_sdt=2005&sciodt=0,5&hl=en",
Scheduling refresh queries for keeping results from a sparql endpoint up-to-date (short paper),2016,"… International Conferences"" On the Move to …",Springer,https://link.springer.com/chapter/10.1007/978-3-319-48472-3_49,"https://scholar.google.com/scholar?cites=14585807156346589573&as_sdt=2005&sciodt=0,5&hl=en",
When a filter makes the difference in continuously answering sparql queries on streaming and quasi-static linked data,2016,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-38791-8_17,"https://scholar.google.com/scholar?cites=125870235375981064&as_sdt=2005&sciodt=0,5&hl=en",
The EvoGen Benchmark Suite for Evolving RDF Data.,2016,MEPDaW/LDQ@ ESWC,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/3670/57133e31733741aa3b2ca439476fc4d6d3b3.pdf,"https://scholar.google.com/scholar?cites=17095747431438743841&as_sdt=2005&sciodt=0,5&hl=en",PDF
Predicting Invariant Nodes in Large Scale Semantic Knowledge Graphs,2017,Annual International Symposium …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-90596-9_4,,
An analytical study of large SPARQL query logs,2017,Proceedings of the VLDB Endowment,dl.acm.org,https://dl.acm.org/citation.cfm?id=3167895,"https://scholar.google.com/scholar?cites=6593559545284349455&as_sdt=2005&sciodt=0,5&hl=en",
Keeping linked open data caches up-to-date by predicting the life-time of RDF triples,2017,Proceedings of the International Conference on …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3106463,"https://scholar.google.com/scholar?cites=7893109115239250134&as_sdt=2005&sciodt=0,5&hl=en",
Evaluating scheduling strategies in LOD based application,2017,2017 19th Asia-Pacific Network …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8094122/,"https://scholar.google.com/scholar?cites=12711051492060820688&as_sdt=2005&sciodt=0,5&hl=en",
