Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
33,"D Beckett, T Berners-Lee, E Prud'hommeaux, ...","RDF 1.1 Turtle",2014,"World Wide WebÂ â€¦","core.ac.uk","https://core.ac.uk/download/pdf/70283847.pdf","https://scholar.google.com/scholar?cites=8223989025715920767&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","PDF","","","",,,,,33,6.60,8,4,5
434,"W Zhang, TG Dietterich","A reinforcement learning approach to job-shop scheduling",1995,"IJCAI","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.8.3850&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=11356828144417024015&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","PDF","","","",,,,,434,18.08,217,2,24
78,"M Martin, J Unbehauen, S Auer","Improving the performance of semantic web applications with SPARQL query caching",2010,"Extended Semantic Web Conference","Springer","https://link.springer.com/chapter/10.1007/978-3-642-13489-0_21","https://scholar.google.com/scholar?cites=17882747952831533250&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","","","","",,,,,78,8.67,26,3,9
605,"G George, MR Haas, A Pentland","Big data and management",2014,"","journals.aom.org","https://journals.aom.org/doi/full/10.5465/amj.2014.4002","https://scholar.google.com/scholar?cites=15851342692833379455&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","","","","",,,,,605,121.00,202,3,5
3607,"S Auer, C Bizer, G Kobilarov, J Lehmann, R Cyganiak, ...","Dbpedia: A nucleus for a web of open data",2007,"The semantic web","Springer","https://link.springer.com/chapter/10.1007/978-3-540-76298-0_52","https://scholar.google.com/scholar?cites=9128036206577641554&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","","","","",,,,,3607,300.58,601,6,12
442,"W Nejdl, M Wolpers, W Siberski, C Schmitz, ...","Super-peer-based routing and clustering strategies for RDF-based peer-to-peer networks",2003,"Proceedings of the 12thÂ â€¦","dl.acm.org","https://dl.acm.org/citation.cfm?id=775229","https://scholar.google.com/scholar?cites=10908194397599434488&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","","","","",,,,,442,27.63,88,5,16
4,"T Yamashita","Distributed view divergence control of data freshness in replicated database systems",2008,"IEEE Transactions on Knowledge and DataÂ â€¦","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4693708/","https://scholar.google.com/scholar?cites=13530105266635448384&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","","","","",,,,,4,0.36,4,1,11
398,"EI Chong, S Das, G Eadon, J Srinivasan","An efficient SQL-based RDF querying scheme",2005,"Proceedings of the 31stÂ â€¦","dl.acm.org","https://dl.acm.org/citation.cfm?id=1083734","https://scholar.google.com/scholar?cites=14022160775642474188&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","","","","",,,,,398,28.43,100,4,14
27,"A Gubichev, T Neumann","Path Query Processing on Very Large RDF Graphs.",2011,"WebDB","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.416.3420&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=17182400714376976199&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","PDF","","","",,,,,27,3.38,14,2,8
88,"R Popping","Knowledge graphs and network text analysis",2003,"Social Science Information","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0539018403042001798?casa_token=X67UqtbLCuQAAAAA:PhCQHSAkUwZ7a3CWzKumSnvWgNaTbBT6CtyUYrvo_i4cFs4zpGL28VDchGBlyG-zgNK1-0ZXpiAFbSw","https://scholar.google.com/scholar?cites=13251114541422128321&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","","","","",,,,,88,5.50,88,1,16
174,"DF Barbieri, D Braga, S Ceri, ED Valle, ...","Querying rdf streams with c-sparql",2010,"ACM SIGMODÂ â€¦","dl.acm.org","https://dl.acm.org/citation.cfm?id=1860705","https://scholar.google.com/scholar?cites=17565786131575972930&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,174,19.33,35,5,9
22,"IN Pasias, IK Kiriakou, C Proestos","HMF and diastase activity in honeys: A fully validated approach and a chemometric analysis for identification of honey freshness and adulteration",2017,"Food chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S030881461730287X","https://scholar.google.com/scholar?cites=17724334486864050875&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,22,11.00,7,3,2
79,"J Wielemaker, G Schreiber, B Wielinga","Prolog-based infrastructure for RDF: Scalability and performance",2003,"International Semantic WebÂ â€¦","Springer","https://link.springer.com/chapter/10.1007/978-3-540-39718-2_41","https://scholar.google.com/scholar?cites=12499572651052158619&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,79,4.94,26,3,16
8,"F Wu, E Agu, C Lindsay","Adaptive cpu scheduling to conserve energy in real-time mobile graphics applications",2008,"International Symposium on Visual Computing","Springer","https://link.springer.com/chapter/10.1007/978-3-540-89639-5_60","https://scholar.google.com/scholar?cites=8329555520289510368&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,8,0.73,3,3,11
2,"T Yamashita, S Ono","Controlling view divergence of data freshness in a replicated database system using statistical update delay estimation",2005,"IEICE TRANSACTIONS on Information andÂ â€¦","search.ieice.org","https://search.ieice.org/bin/summary.php?id=e88-d_4_739","https://scholar.google.com/scholar?cites=14745168745774209503&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,2,0.14,1,2,14
38,"N Papailiou, D Tsoumakos, P Karras, ...","Graph-aware, workload-adaptive SPARQL query caching",2015,"Proceedings of the 2015Â â€¦","dl.acm.org","https://dl.acm.org/citation.cfm?id=2723714","https://scholar.google.com/scholar?cites=6492699566708267958&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,38,9.50,10,4,4
128,"S Bartling, S Friesike","Opening science: The evolving guide on how the internet is changing research, collaboration and scholarly publishing",2014,"","Springer","https://link.springer.com/content/pdf/10.1007/978-3-319-00026-8.pdf","https://scholar.google.com/scholar?cites=15248557262964902275&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","BOOK","","","",,,,,128,25.60,64,2,5
339,"K Ding, HC Andersen","Molecular-dynamics simulation of amorphous germanium",1986,"Physical Review B","APS","https://journals.aps.org/prb/abstract/10.1103/PhysRevB.34.6987","https://scholar.google.com/scholar?cites=7668383080888371293&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,339,10.27,170,2,33
141,"P Shannon, R Vishwanath","The effect of optimal and suboptimal concentrations of sperm on the fertility of fresh and frozen bovine semen and a theoretical model to explain the fertility differences",1995,"Animal Reproduction Science","Elsevier","https://www.sciencedirect.com/science/article/pii/037843209501376B","https://scholar.google.com/scholar?cites=12454468373296479054&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,141,5.88,71,2,24
254,"R Angles, C Gutierrez","The expressive power of SPARQL",2008,"International Semantic Web Conference","Springer","https://link.springer.com/chapter/10.1007/978-3-540-88564-1_8","https://scholar.google.com/scholar?cites=10081325791902777818&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,254,23.09,127,2,11
439,"L Columbus, WL Hubbell","A new spin on protein dynamics",2002,"Trends in biochemical sciences","Elsevier","https://www.sciencedirect.com/science/article/pii/S0968000402020959","https://scholar.google.com/scholar?cites=5168382755453499940&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,439,25.82,220,2,17
5,"T Ge, Y Wang, G de Melo, H Li, B Chen","Visualizing and curating knowledge graphs over time and space",2016,"Proceedings of ACL-2016Â â€¦","aclweb.org","https://www.aclweb.org/anthology/P16-4005","https://scholar.google.com/scholar?cites=7953591351002112511&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","PDF","","","",,,,,5,1.67,1,5,3
102,"M DÃ¶rk, S Carpendale, C Williamson","The information flaneur: A fresh look at information seeking",2011,"Proceedings of the SIGCHIÂ â€¦","dl.acm.org","https://dl.acm.org/citation.cfm?id=1979124","https://scholar.google.com/scholar?cites=6292950550988331322&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,102,12.75,34,3,8
44,"MD Iannacone, S Bohn, G Nakamura, J Gerth, ...","Developing an Ontology for Cyber Security Knowledge Graphs.",2015,"CISR","researchgate.net","https://www.researchgate.net/profile/Robert_Bridges3/publication/300525722_Developing_an_Ontology_for_Cyber_Security_Knowledge_Graphs/links/58cfe3d2a6fdccff68e31122/Developing-an-Ontology-for-Cyber-Security-Knowledge-Graphs.pdf","https://scholar.google.com/scholar?cites=15047105301959357031&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","PDF","","","",,,,,44,11.00,9,5,4
120,"W Xiong, Y Sun, T Zhang, X Ding, Y Li, M Wang, ...","Antibiotics, antibiotic resistance genes, and bacterial community composition in fresh water aquaculture environment in China",2015,"Microbial ecology","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00248-015-0583-x&casa_token=PnVXtOXbtrQAAAAA:cLodcNPwkhZd7EvjHHH1O6PGPMiWzD1VykMq88m6eJrSdBQTBsLgrqYphReHQZa2O431UAS8F3dRJIBtMKE","https://scholar.google.com/scholar?cites=3689910829169671304&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","HTML","","","",,,,,120,30.00,17,7,4
21,"Y Dong, X Chen, H Liang, CC Li","Dynamics of linguistic opinion formation in bounded confidence model",2016,"Information Fusion","Elsevier","https://www.sciencedirect.com/science/article/pii/S1566253516300094","https://scholar.google.com/scholar?cites=9851705908244830642&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,21,7.00,5,4,3
5670,"C Bizer, T Heath, T Berners-Lee","Linked data: The story so far",2011,"Semantic services, interoperabilityÂ â€¦","igi-global.com","https://www.igi-global.com/chapter/linked-data-story-far/55046","https://scholar.google.com/scholar?cites=12525999367087265076&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,5670,708.75,1890,3,8
4069,"MC Hansen, PV Potapov, R Moore, M Hancher, ...","High-resolution global maps of 21st-century forest cover change",2013,"â€¦","science.sciencemag.org","http://science.sciencemag.org/content/342/6160/850.short","https://scholar.google.com/scholar?cites=10046734035889207774&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,4069,678.17,814,5,6
192,"B Cahoon, KS McKinley","Data flow analysis for software prefetching linked data structures in Java",2001,"Proceedings 2001 InternationalÂ â€¦","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/953309/","https://scholar.google.com/scholar?cites=8966325501035959264&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,192,10.67,96,2,18
61,"X Zhang, L Chen, Y Tong, ...","EAGRE: Towards scalable I/O efficient SPARQL query evaluation on the cloud",2013,"2013 IEEE 29thÂ â€¦","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6544856/","https://scholar.google.com/scholar?cites=18226070145407340882&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,61,10.17,15,4,6
12,"S Vert, R Vasiu","Integrating linked open data in mobile augmented reality applications-a case study",2015,"TEM Journal","researchgate.net","https://www.researchgate.net/profile/Radu_Vasiu/publication/275023643_Integrating_linked_open_data_in_mobile_augmented_reality_applications_-_a_case_study/links/552ed0ab0cf22d437170c213.pdf","https://scholar.google.com/scholar?cites=12529666601938951552&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","PDF","","","",,,,,12,3.00,6,2,4
24,"S Yang, F Han, Y Wu, X Yan","Fast top-k search in knowledge graphs",2016,"2016 IEEE 32nd InternationalÂ â€¦","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7498307/","https://scholar.google.com/scholar?cites=15726776775469551041&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,24,8.00,6,4,3
40,"JN Rouder","The what, why, and how of born-open data",2016,"Behavior research methods","Springer","https://link.springer.com/article/10.3758/s13428-015-0630-z","https://scholar.google.com/scholar?cites=5080154506661708045&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","HTML","","","",,,,,40,13.33,40,1,3
293,"A Zaveri, A Rula, A Maurino, R Pietrobon, ...","Quality assessment for linked data: A survey",2016,"SemanticÂ â€¦","content.iospress.com","https://content.iospress.com/articles/semantic-web/sw175","https://scholar.google.com/scholar?cites=9504851058612075216&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,293,97.67,59,5,3
9,"RS Narolia, H Meena, P Singh, ...","Effect of irrigation scheduling and nutrient management on productivity, profitability and nutrient uptake of wheat (Triticum aestivum) grown under zero-tilled conditionÂ â€¦",2016,"Indian Journal ofÂ â€¦","indianjournals.com","http://www.indianjournals.com/ijor.aspx?target=ijor:ija&volume=61&issue=1&article=009","https://scholar.google.com/scholar?cites=360728159116913865&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,9,3.00,2,4,3
100,"BF Chao","Anthropogenic impact on global geodynamics due to reservoir water impoundment",1995,"Geophysical research letters","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/95GL02664","https://scholar.google.com/scholar?cites=15658545821498399615&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,100,4.17,100,1,24
9,"F Bianchi, M Palmonari, M Cremaschi, ...","Actively learning to rank semantic associations for personalized contextual exploration of knowledge graphs",2017,"European Semantic WebÂ â€¦","Springer","https://link.springer.com/chapter/10.1007/978-3-319-58068-5_8","https://scholar.google.com/scholar?cites=5146589985493898668&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,9,4.50,2,4,2
18,"AT Duchowski, D Bate, P Stringfellow, ...","On spatiochromatic visual sensitivity and peripheral color LOD management",2009,"ACM Transactions onÂ â€¦","dl.acm.org","https://dl.acm.org/citation.cfm?id=1498703","https://scholar.google.com/scholar?cites=17913588103848386616&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,18,1.80,5,4,10
48,"B Chen, JE Swan II, E Kuo, A Kaufman","LOD-sprite technique for accelerated terrain rendering",1999,"Proceedings of the conferenceÂ â€¦","dl.acm.org","https://dl.acm.org/citation.cfm?id=319424","https://scholar.google.com/scholar?cites=6628743438569381563&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,48,2.40,12,4,20
71,"SD Preston, LF Jacobs","Conspecific pilferage but not presence affects Merriam's kangaroo rat cache strategy",2001,"Behavioral Ecology","academic.oup.com","https://academic.oup.com/beheco/article-abstract/12/5/517/311656","https://scholar.google.com/scholar?cites=7188976087550320224&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,71,3.94,36,2,18
49,"V Papavasileiou, G Flouris, I Fundulaki, ...","High-level change detection in RDF (S) KBs",2013,"ACM Transactions onÂ â€¦","dl.acm.org","https://dl.acm.org/citation.cfm?id=2445584","https://scholar.google.com/scholar?cites=1357273563166353418&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-21 18:19:59","","","","",,,,,49,8.17,12,4,6
101,"D Wood, M Zaidman, L Ruth, M Hausenblas","Linked Data",2014,"","dl.acm.org","https://dl.acm.org/citation.cfm?id=2616311","https://scholar.google.com/scholar?cites=7751594508051744714&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","BOOK","","","",,,,,101,20.20,25,4,5
531,"OJ Reichman, MB Jones, MP Schildhauer","Challenges and opportunities of open data in ecology",2011,"Science","science.sciencemag.org","https://science.sciencemag.org/content/331/6018/703.short","https://scholar.google.com/scholar?cites=1635800694276770494&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","","","","",,,,,531,66.38,177,3,8
19,"T Knap, M Kukhar, B MachÃ¡Ä, P Å koda, ...","UnifiedViews: An ETL framework for sustainable RDF data processing",2014,"European SemanticÂ â€¦","Springer","https://link.springer.com/chapter/10.1007/978-3-319-11955-7_52","https://scholar.google.com/scholar?cites=14658453738854355601&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","","","","",,,,,19,3.80,4,5,5
18,"W Hofman","Supply chain visibility with linked open data for supply chain risk analysis",2011,"â€¦Â on IT Innovations Enabling Seamless andÂ â€¦","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/f590/6bab4e77dbf472fdf29958a182ccb9c5a648.pdf#page=32","https://scholar.google.com/scholar?cites=14335370598041135246&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","PDF","","","",,,,,18,2.25,18,1,8
381,"P Concannon, KJ Gogolin-Ewens, DA Hinds, ...","A second-generation screen of the human genome for susceptibility to insulin-dependent diabetes mellitus",1998,"NatureÂ â€¦","nature.com","https://www.nature.com/articles/ng0798_292","https://scholar.google.com/scholar?cites=7675067136645349148&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","","","","",,,,,381,18.14,95,4,21
79,"A Schwarte, P Haase, K Hose, R Schenkel, ...","FedX: a federation layer for distributed query processing on linked open data",2011,"Extended Semantic WebÂ â€¦","Springer","https://link.springer.com/chapter/10.1007/978-3-642-21064-8_39","https://scholar.google.com/scholar?cites=14741432183548078832&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","","","","",,,,,79,9.88,16,5,8
23,"M Yang, G Wu","Caching intermediate result of SPARQL queries",2011,"Proceedings of the 20th international conferenceÂ â€¦","dl.acm.org","https://dl.acm.org/citation.cfm?id=1963273","https://scholar.google.com/scholar?cites=14202072024337426248&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","","","","",,,,,23,2.88,12,2,8
15,"M Hooper","Automated model progression scheduling using level of development",2015,"Construction Innovation","emeraldinsight.com","https://www.emeraldinsight.com/doi/abs/10.1108/CI-09-2014-0048","https://scholar.google.com/scholar?cites=6525710042751242011&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","","","","",,,,,15,3.75,15,1,4
23,"E Wilde, M Hausenblas","RESTful SPARQL? You name it!: aligning SPARQL with REST and resource orientation",2009,"Proceedings of the 4th Workshop on EmergingÂ â€¦","dl.acm.org","https://dl.acm.org/citation.cfm?id=1645412","https://scholar.google.com/scholar?cites=16604101272138900461&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","","","","",,,,,23,2.30,12,2,10
31,"CH Chu, YH Chan, PH Wu","3D streaming based on multi-LOD models for networked collaborative design",2008,"Computers in Industry","Elsevier","https://www.sciencedirect.com/science/article/pii/S016636150800081X","https://scholar.google.com/scholar?cites=12639440421061313781&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","","","","",,,,,31,2.82,10,3,11
137,"A Behm, VR Borkar, MJ Carey, R Grover, C Li, ...","Asterix: towards a scalable, semistructured data platform for evolving-world models",2011,"Distributed and ParallelÂ â€¦","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10619-011-7082-y&casa_token=gfyR2Ir1Ac8AAAAA:FawVjlA-shb1UWdkGzo-e7cbCcjo7J1n6Pu3QnUQUrcRyQT7QAuSblEIT8TmEiTQTpYQ8trV7OEpkL6MeuQ","https://scholar.google.com/scholar?cites=13560767694206603704&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","","","","",,,,,137,17.13,23,6,8
59,"ST Chan, MWY Yao, YC Wong, T Wong, ...","Evaluation of chemical indicators for monitoring freshness of food and determination of volatile amines in fish by headspace solid-phase microextraction andÂ â€¦",2006,"â€¦Â Food Research andÂ â€¦","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00217-006-0290-4&casa_token=Jc79qhJkUpUAAAAA:dm0PaZ7p_bds1QElT3h063uDTCkoTcFbdvag-3ytIJ6RLnLTHuafWl_by9Nv6kK8ppeFaSYdCuVHQn8kh8A","https://scholar.google.com/scholar?cites=17128025622512594103&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","HTML","","","",,,,,59,4.54,12,5,13
798,"PGA Pedrioli, JK Eng, R Hubley, M Vogelzang, ...","A common open representation of mass spectrometry data and its application to proteomics research",2004,"NatureÂ â€¦","nature.com","https://www.nature.com/articles/nbt1031","https://scholar.google.com/scholar?cites=4957266134769445314&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","","","","",,,,,798,53.20,160,5,15
7,"R Lario, R Pajarola, F Tirado","Cached geometry manager for view-dependent LOD rendering",2005,"","dspace5.zcu.cz","https://dspace5.zcu.cz/handle/11025/10946","https://scholar.google.com/scholar?cites=6297538013563017939&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","BOOK","","","",,,,,7,0.50,2,3,14
48,"B Hixon, P Clark, H Hajishirzi","Learning knowledge graphs for question answering through conversational dialog",2015,"Proceedings of the 2015 Conference ofÂ â€¦","aclweb.org","https://www.aclweb.org/anthology/N15-1086","https://scholar.google.com/scholar?cites=15362143584041873561&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","PDF","","","",,,,,48,12.00,16,3,4
18,"N Jayaram, S Goyal, C Li","VIIQ: auto-suggestion enabled visual interface for interactive graph query formulation",2015,"Proceedings of the VLDB Endowment","dl.acm.org","https://dl.acm.org/citation.cfm?id=2824106","https://scholar.google.com/scholar?cites=1329680687343335607&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","","","","",,,,,18,4.50,6,3,4
392,"D Le-Phuoc, M Dao-Tran, JX Parreira, ...","A native and adaptive approach for unified processing of linked streams and linked data",2011,"International SemanticÂ â€¦","Springer","https://link.springer.com/chapter/10.1007/978-3-642-25073-6_24","https://scholar.google.com/scholar?cites=5938359806531444900&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","","","","",,,,,392,49.00,98,4,8
141,"R Verborgh, M Vander Sande, O Hartig, ...","Triple Pattern Fragments: a low-cost knowledge graph interface for the Web",2016,"Journal of WebÂ â€¦","Elsevier","https://www.sciencedirect.com/science/article/pii/S1570826816000214","https://scholar.google.com/scholar?cites=16750723514355900378&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-21 18:19:59","","","","",,,,,141,47.00,35,4,3
